,Postcode (single space),GEOWD18 code,Geographical Ward 2018 name,STATWD18 code,Statistical Ward 2018 name [Bestfit] ,LSOA11 code,LSOA11 local name,IMD2019 LSOA England Rank,IMD2019 England % Rank,IMD2019 England Deprivation Decile,IMD2019 LSOA Bristol Rank,IMD2019 Bristol Deprivation Decile
0,BS1 1AD,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
1,BS1 1BU,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
2,BS1 1DA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
3,BS1 1DB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
4,BS1 1DD,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01014654,St Judes,1881,0.05727073438070881,1,27,1
5,BS1 1DE,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
6,BS1 1DL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
7,BS1 1DP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
8,BS1 1DQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
9,BS1 1DR,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
10,BS1 1DW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
11,BS1 1DZ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
12,BS1 1EA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
13,BS1 1EB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
14,BS1 1EE,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
15,BS1 1EH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
16,BS1 1EL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
17,BS1 1EN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
18,BS1 1EQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
19,BS1 1GB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
20,BS1 1HQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
21,BS1 1HT,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
22,BS1 1HW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
23,BS1 1JG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
24,BS1 1JH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
25,BS1 1JL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
26,BS1 1JN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
27,BS1 1JQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
28,BS1 1JR,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
29,BS1 1JS,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
30,BS1 1JW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
31,BS1 1JX,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
32,BS1 1LA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
33,BS1 1LJ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
34,BS1 1LT,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
35,BS1 1NA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
36,BS1 1NG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
37,BS1 1NR,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
38,BS1 1PN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
39,BS1 1QB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
40,BS1 1QP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
41,BS1 1QQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
42,BS1 1QW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
43,BS1 1QZ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
44,BS1 1RA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
45,BS1 1RB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
46,BS1 1RG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
47,BS1 1RT,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
48,BS1 1RU,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
49,BS1 1SA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
50,BS1 1SD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
51,BS1 1SE,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
52,BS1 1TG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
53,BS1 1TP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
54,BS1 1UA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
55,BS1 1UB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
56,BS1 1UE,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
57,BS1 1UQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
58,BS1 1WH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
59,BS1 1XA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
60,BS1 1XH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
61,BS1 1XR,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
62,BS1 1YA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
63,BS1 1YG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
64,BS1 1YH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
65,BS1 1YL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
66,BS1 2AA,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
67,BS1 2AF,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
68,BS1 2AG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
69,BS1 2AL,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
70,BS1 2AN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
71,BS1 2AR,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
72,BS1 2AS,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
73,BS1 2AT,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
74,BS1 2AU,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
75,BS1 2AW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
76,BS1 2AX,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
77,BS1 2AZ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
78,BS1 2BA,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
79,BS1 2BB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
80,BS1 2BD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
81,BS1 2BE,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
82,BS1 2BF,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
83,BS1 2BG,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
84,BS1 2BJ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
85,BS1 2BQ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
86,BS1 2DD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
87,BS1 2DF,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
88,BS1 2DJ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
89,BS1 2DL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
90,BS1 2DP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
91,BS1 2DS,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
92,BS1 2DU,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
93,BS1 2EH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
94,BS1 2EJ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
95,BS1 2EL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
96,BS1 2EP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
97,BS1 2EQ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
98,BS1 2ER,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
99,BS1 2EU,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
100,BS1 2EY,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
101,BS1 2EZ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
102,BS1 2HF,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
103,BS1 2HG,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
104,BS1 2HL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
105,BS1 2HP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
106,BS1 2HR,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
