count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
27678,2019,1,"South West",144,"Bristol, City of",A4018,Major,A4176,"B4056 Henleaze Rd",357340,175000,51.47234500,-2.61558860,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",953,288,14923,430,1965,125,42,31,3,6,6,213,17818
74770,2019,1,"South West",144,"Bristol, City of",A38,Major,A4018,"A38 Colston Avenue roundabout",358556,172848,51.45308700,-2.59782930,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",3997,1134,23614,1200,3461,331,62,79,18,12,27,528,29937
26128,2019,1,"South West",144,"Bristol, City of",A3029,Major,A4,A370,356750,172000,51.44532800,-2.62371470,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",391,1011,48128,752,8535,809,205,471,94,274,315,2167,60593
26043,2019,1,"South West",144,"Bristol, City of",M32,Major,"Junction 2 M32","LA Boundary",362437,177160,51.49212900,-2.54243880,3.30,2.05,Counted,"Manual count",0,1156,67575,547,11560,1669,312,408,186,649,836,4060,84898
7046,2019,1,"South West",144,"Bristol, City of",A403,Major,"Kings Road Avenue","Unclassified Road",352000,180000,51.51687100,-2.69314730,5.80,3.60,Estimated,"Estimated using previous year's AADF on this link",108,121,4915,20,2426,792,238,496,276,923,639,3364,10846
26404,2019,1,"South West",144,"Bristol, City of",A38,Major,A4044,A370,359050,172200,51.44729700,-2.59064510,0.60,0.37,Counted,"Manual count",1822,598,14555,919,2449,132,39,27,8,15,15,236,18758
28727,2019,1,"South West",144,"Bristol, City of",A4162,Major,"Canford Lane",A4018,356855,177521,51.49497500,-2.62287980,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",121,88,7008,16,920,36,11,34,5,2,10,99,8131
57291,2019,1,"South West",144,"Bristol, City of",A4032,Major,A4044,M32,359900,173930,51.46291300,-2.57861130,0.70,0.43,Counted,"Manual count",19,911,43058,789,6160,438,110,109,45,190,185,1076,51994
37186,2019,1,"South West",144,"Bristol, City of",A432,Major,B4469,B4469,361600,175150,51.47400000,-2.55427480,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",542,432,26663,322,4366,430,70,44,12,74,103,732,32516
56400,2019,1,"South West",144,"Bristol, City of",A4044,Major,A4032,A38,359200,173540,51.45935600,-2.58864180,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",1294,529,32716,1278,4687,346,56,69,19,25,25,540,39750
47164,2019,1,"South West",144,"Bristol, City of",A420,Major,"Old Market St","Stapleton Rd",359800,173350,51.45769100,-2.57998460,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",664,188,7253,426,1412,102,21,30,1,2,3,159,9438
36132,2019,1,"South West",144,"Bristol, City of",A4,Major,"Emery Rd","LA Boundary",362899,170086,51.42855600,-2.53504000,1.10,0.68,Counted,"Manual count",497,614,27513,275,5637,693,105,72,22,99,66,1057,35095
