Date;Sector;Percent change from baseline
2020-08-30;parks;112
2020-09-08;parks;83
2020-08-26;parks;84
2020-08-18;parks;67
2020-08-25;parks;22
2020-09-03;parks;48
2020-08-17;parks;90
2020-08-19;parks;-2
2020-08-20;parks;126
2020-08-28;parks;32
2020-09-02;parks;35
2020-09-07;parks;58
2020-09-10;parks;129
2020-08-22;parks;46
2020-08-29;parks;71
2020-09-04;parks;55
2020-08-21;parks;21
2020-08-23;parks;59
2020-08-31;parks;168
2020-09-05;parks;88
2020-09-06;parks;81
2020-09-09;parks;75
2020-08-24;parks;80
2020-08-27;parks;18
2020-09-01;parks;108
2020-02-17;parks;11
2020-02-20;grocery and pharmacy;-1
2020-02-21;retail and recreation;7
2020-02-21;parks;12
2020-02-23;workplaces;2
2020-02-24;workplaces;-1
2020-02-26;parks;-4
2020-02-27;grocery and pharmacy;4
2020-02-27;transit stations;3
2020-03-03;retail and recreation;5
2020-03-03;residential;0
2020-03-04;parks;-24
2020-03-07;transit stations;5
2020-03-11;grocery and pharmacy;3
2020-03-12;parks;-2
2020-03-15;retail and recreation;-20
2020-03-15;grocery and pharmacy;5
2020-03-16;grocery and pharmacy;17
2020-03-17;grocery and pharmacy;22
2020-03-19;transit stations;-50
2020-03-22;transit stations;-58
2020-03-23;parks;34
2020-03-24;workplaces;-66
2020-03-26;transit stations;-78
2020-03-28;parks;-44
2020-03-29;workplaces;-57
2020-03-29;residential;18
2020-03-30;transit stations;-81
2020-04-03;grocery and pharmacy;-33
2020-04-04;transit stations;-78
2020-04-05;retail and recreation;-86
2020-04-06;retail and recreation;-79
2020-04-09;retail and recreation;-78
2020-04-11;residential;21
2020-04-12;transit stations;-79
2020-04-14;parks;28
2020-04-15;retail and recreation;-80
2020-04-16;transit stations;-80
2020-04-17;workplaces;-74
2020-04-19;parks;24
2020-04-21;residential;31
2020-04-22;transit stations;-79
2020-04-22;residential;31
2020-04-23;transit stations;-79
2020-04-24;transit stations;-79
2020-04-26;grocery and pharmacy;-38
2020-04-26;transit stations;-74
2020-04-26;residential;16
2020-04-28;transit stations;-82
2020-05-02;transit stations;-73
2020-05-03;workplaces;-49
2020-05-06;residential;29
2020-05-07;grocery and pharmacy;-23
2020-05-07;workplaces;-71
2020-05-08;parks;56
2020-05-09;grocery and pharmacy;-34
2020-05-09;residential;18
2020-05-12;retail and recreation;-75
2020-05-12;workplaces;-70
2020-05-14;transit stations;-75
2020-05-15;transit stations;-74
2020-05-16;residential;17
2020-05-17;transit stations;-72
2020-05-18;grocery and pharmacy;-28
2020-05-18;parks;90
2020-05-19;workplaces;-68
2020-05-21;parks;125
2020-05-22;grocery and pharmacy;-23
2020-05-22;workplaces;-66
2020-05-22;residential;28
2020-05-23;parks;11
2020-05-24;retail and recreation;-77
2020-05-24;transit stations;-66
2020-05-25;workplaces;-82
2020-05-26;retail and recreation;-69
2020-05-26;workplaces;-66
2020-05-27;retail and recreation;-72
2020-05-28;residential;26
2020-05-31;retail and recreation;-76
2020-05-31;workplaces;-29
2020-06-01;grocery and pharmacy;-20
2020-06-04;parks;61
2020-06-11;transit stations;-73
2020-06-11;workplaces;-61
2020-06-12;parks;22
2020-06-14;grocery and pharmacy;-26
2020-06-14;transit stations;-64
2020-06-15;parks;137
2020-06-16;residential;23
2020-06-17;retail and recreation;-65
2020-06-17;transit stations;-68
2020-06-20;workplaces;-24
2020-06-20;residential;10
2020-06-22;workplaces;-60
2020-06-22;residential;21
2020-06-23;parks;178
2020-06-23;residential;20
2020-06-24;parks;144
2020-06-25;retail and recreation;-62
2020-06-25;residential;20
2020-06-26;retail and recreation;-63
2020-06-26;workplaces;-57
2020-06-27;transit stations;-61
2020-06-28;grocery and pharmacy;-24
2020-06-28;transit stations;-60
2020-07-01;transit stations;-63
2020-07-02;retail and recreation;-56
2020-07-05;grocery and pharmacy;-22
2020-07-05;residential;7
2020-07-11;retail and recreation;-57
2020-07-11;workplaces;-15
2020-07-14;workplaces;-57
2020-07-15;parks;50
2020-07-15;workplaces;-55
2020-07-16;retail and recreation;-40
2020-07-21;parks;138
2020-07-22;retail and recreation;-41
2020-07-22;grocery and pharmacy;-19
2020-07-22;parks;97
2020-07-24;retail and recreation;-43
2020-07-25;retail and recreation;-54
2020-07-25;residential;7
2020-07-26;parks;62
2020-07-27;grocery and pharmacy;-22
2020-07-28;retail and recreation;-35
2020-07-28;grocery and pharmacy;-18
2020-07-28;residential;17
2020-07-30;workplaces;-57
2020-08-01;grocery and pharmacy;-22
2020-08-01;workplaces;-15
2020-08-01;residential;3
2020-08-02;transit stations;-45
2020-08-02;workplaces;-11
2020-08-03;retail and recreation;-32
2020-08-03;grocery and pharmacy;-20
2020-08-03;transit stations;-57
2020-08-06;grocery and pharmacy;-18
2020-08-07;workplaces;-57
2020-08-10;transit stations;-56
2020-08-11;workplaces;-57
2020-08-16;grocery and pharmacy;-24
2020-08-17;grocery and pharmacy;-23
2020-08-17;transit stations;-55
2020-08-19;transit stations;-60
2020-08-21;transit stations;-55
2020-08-21;residential;14
2020-08-25;retail and recreation;-18
2020-08-30;residential;0
2020-08-31;retail and recreation;-16
2020-09-01;residential;13
2020-09-03;transit stations;-55
2020-09-04;residential;12
2020-09-06;grocery and pharmacy;-18
2020-09-09;workplaces;-50
2020-09-09;residential;12
2020-09-10;grocery and pharmacy;-14
2020-09-10;transit stations;-49
2020-09-13;parks;114
2020-09-16;transit stations;-49
2020-09-16;workplaces;-46
2020-09-17;grocery and pharmacy;-15
2020-09-19;workplaces;-12
2020-09-22;retail and recreation;-30
2020-09-22;workplaces;-47
2020-09-22;residential;13
2020-09-23;parks;0
2020-09-23;residential;14
2020-09-24;retail and recreation;-34
2020-09-25;grocery and pharmacy;-11
2020-09-25;transit stations;-47
2020-09-26;parks;50
2020-09-26;transit stations;-42
2020-09-26;residential;4
2020-09-28;residential;13
2020-10-01;residential;14
2020-10-02;retail and recreation;-41
2020-10-02;parks;-24
2020-10-03;transit stations;-47
2020-10-05;grocery and pharmacy;-13
2020-10-06;parks;28
2020-10-09;transit stations;-47
2020-10-10;retail and recreation;-37
2020-10-17;transit stations;-46
2020-10-19;grocery and pharmacy;-15
2020-10-21;grocery and pharmacy;-16
2020-10-21;workplaces;-42
2020-10-22;retail and recreation;-31
2020-10-22;workplaces;-43
2020-10-23;retail and recreation;-32
2020-10-23;grocery and pharmacy;-9
2020-10-23;parks;22
2020-10-25;retail and recreation;-29
2020-10-25;transit stations;-43
2020-10-26;workplaces;-52
2020-10-27;parks;13
2020-10-27;transit stations;-54
2020-10-28;grocery and pharmacy;-16
2020-10-31;transit stations;-46
2020-11-03;retail and recreation;-13
2020-11-03;workplaces;-41
2020-11-04;grocery and pharmacy;-7
2020-11-06;retail and recreation;-67
2020-11-06;parks;32
2020-11-06;residential;23
2020-11-07;retail and recreation;-73
2020-11-08;grocery and pharmacy;-24
2020-11-08;parks;20
2020-11-08;workplaces;-34
2020-11-10;grocery and pharmacy;-17
2020-11-10;workplaces;-51
2020-11-11;residential;22
2020-11-12;transit stations;-63
2020-11-13;grocery and pharmacy;-13
2020-11-13;workplaces;-49
2020-11-14;grocery and pharmacy;-24
2020-11-15;workplaces;-31
2020-11-18;transit stations;-65
2020-11-19;retail and recreation;-60
2020-11-19;residential;21
2020-11-20;grocery and pharmacy;-15
2020-11-22;retail and recreation;-64
2020-11-22;parks;67
2020-11-26;transit stations;-63
