Type,All Cars,ULEV
31-10-2011,268565.00,19.00
31-01-2012,268096.00,22.00
30-04-2012,260453.00,26.00
31-07-2012,258337.00,45.00
31-10-2012,280641.00,58.00
31-01-2013,280262.00,67.00
30-04-2013,277600.00,83.00
31-07-2013,273107.00,99.00
31-10-2013,294175.00,108.00
31-01-2014,292606.00,146.00
30-04-2014,289103.00,164.00
31-07-2014,284973.00,192.00
31-10-2014,306439.00,255.00
31-01-2015,306444.00,315.00
30-04-2015,303571.00,344.00
31-07-2015,300204.00,405.00
31-10-2015,316746.00,446.00
31-01-2016,313999.00,559.00
30-04-2016,312302.00,659.00
31-07-2016,312706.00,771.00
31-10-2016,320241.00,884.00
31-01-2017,321527.00,1031.00
30-04-2017,321381.00,1148.00
31-07-2017,322630.00,1382.00
31-10-2017,325910.00,1601.00
31-01-2018,325093.00,1948.00
30-04-2018,321966.00,2440.00
31-07-2018,322066.00,2655.00
31-10-2018,335322.00,2816.00
31-01-2019,334728.00,2951.00
30-04-2019,331858.00,3136.00
31-07-2019,329621.00,3374.00
31-10-2019,328891.00,3735.00
31-01-2020,337029.00,4351.00
30-04-2020,330305.00,4611.00
31-07-2020,330531.00,5922.00
31-10-2020,328891.00,8650.00
31-01-2021,328239.00,12292.00
30-04-2021,329019.00,15689.00
31-07-2021,327192.00,18835.00
