,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
0,Petrol Electric,385.0,50.0,25.0,43.53448275862069
1,Petrol Electric,385.0,50.0,25.0,43.53448275862069
2,Petrol Electric,382.0,46.0,23.0,43.53448275862069
3,Petrol Electric,382.0,46.0,23.0,43.53448275862069
4,Petrol Electric,297.0,48.0,21.0,43.53448275862069
5,Petrol Electric,297.0,48.0,21.0,43.53448275862069
6,Petrol Electric,338.0,40.0,15.0,43.53448275862069
7,Petrol Electric,338.0,40.0,15.0,43.53448275862069
8,Petrol Electric,309.0,34.0,14.0,43.53448275862069
9,Petrol Electric,309.0,34.0,14.0,43.53448275862069
10,Petrol Electric,228.0,32.0,13.0,43.53448275862069
11,Petrol Electric,228.0,32.0,13.0,43.53448275862069
12,Petrol Electric,332.0,44.0,22.0,43.53448275862069
13,Petrol Electric,332.0,44.0,22.0,43.53448275862069
14,Petrol Electric,377.0,42.0,23.0,43.53448275862069
15,Petrol Electric,377.0,42.0,23.0,43.53448275862069
16,Petrol Electric,389.0,49.0,24.0,43.53448275862069
17,Petrol Electric,389.0,49.0,24.0,43.53448275862069
18,Petrol Electric,362.0,47.0,21.0,43.53448275862069
19,Petrol Electric,362.0,47.0,21.0,43.53448275862069
20,Petrol,659.0,20.0,5.0,0.0
21,Petrol Electric,318.0,39.0,14.0,43.53448275862069
22,Petrol Electric,318.0,39.0,14.0,43.53448275862069
23,Petrol Electric,243.0,38.0,17.0,43.53448275862069
24,Petrol Electric,243.0,38.0,17.0,43.53448275862069
25,Petrol Electric,361.0,40.0,17.0,43.53448275862069
26,Petrol Electric,361.0,40.0,17.0,43.53448275862069
27,Petrol Electric,242.0,43.0,21.0,43.53448275862069
28,Petrol Electric,242.0,43.0,21.0,43.53448275862069
29,Petrol,524.0,21.0,13.0,43.53448275862069
30,Petrol,524.0,21.0,13.0,43.53448275862069
31,Petrol Electric,316.0,38.0,28.0,43.53448275862069
32,Petrol Electric,316.0,38.0,28.0,43.53448275862069
33,Petrol Electric,326.0,35.0,23.0,43.53448275862069
34,Petrol Electric,326.0,35.0,23.0,43.53448275862069
35,Petrol,691.0,52.0,16.0,43.53448275862069
36,Petrol,691.0,52.0,16.0,43.53448275862069
37,Petrol Electric,351.0,51.0,21.0,43.53448275862069
38,Petrol Electric,351.0,51.0,21.0,43.53448275862069
39,Petrol Electric,322.0,39.0,18.0,43.53448275862069
