Date,ULEV_forecast
2019-07-31,1013
2019-08-31,1071
2019-09-30,1125
2019-10-31,1179
2019-11-30,1244
2019-12-31,1311
2020-01-31,1374
2020-02-29,1430
2020-03-31,1492
2020-04-30,1553
2020-05-31,1613
2020-06-30,1675
2020-07-31,1740
2020-08-31,1802
2020-09-30,1865
2020-10-31,1930
2020-11-30,1997
2020-12-31,2063
2021-01-31,2129
2021-02-28,2198
2021-03-31,2266
2021-04-30,2335
2021-05-31,2405
2021-06-30,2475
2021-07-31,2546
2021-08-31,2618
2021-09-30,2691
2021-10-31,2764
2021-11-30,2838
2021-12-31,2912
2022-01-31,2987
2022-02-28,3063
2022-03-31,3140
2022-04-30,3217
2022-05-31,3295
2022-06-30,3374
2022-07-31,3453
2022-08-31,3533
2022-09-30,3614
2022-10-31,3696
2022-11-30,3778
2022-12-31,3861
2023-01-31,3944
2023-02-28,4028
2023-03-31,4113
2023-04-30,4199
2023-05-31,4285
2023-06-30,4372
2023-07-31,4460
2023-08-31,4548
2023-09-30,4637
2023-10-31,4727
2023-11-30,4817
2023-12-31,4908
2024-01-31,5000
2024-02-29,5092
2024-03-31,5185
2024-04-30,5279
2024-05-31,5374
2024-06-30,5469
2024-07-31,5565
2024-08-31,5662
2024-09-30,5759
2024-10-31,5857
2024-11-30,5955
2024-12-31,6055
2025-01-31,6155
2025-02-28,6255
2025-03-31,6357
2025-04-30,6459
2025-05-31,6562
2025-06-30,6665
2025-07-31,6769
2025-08-31,6874
2025-09-30,6980
2025-10-31,7086
2025-11-30,7193
2025-12-31,7300
2026-01-31,7409
2026-02-28,7518
2026-03-31,7627
2026-04-30,7738
2026-05-31,7849
2026-06-30,7960
2026-07-31,8073
2026-08-31,8186
2026-09-30,8300
2026-10-31,8414
2026-11-30,8529
2026-12-31,8645
2027-01-31,8762
2027-02-28,8879
2027-03-31,8997
2027-04-30,9115
2027-05-31,9235
2027-06-30,9355
2027-07-31,9475
2027-08-31,9597
2027-09-30,9719
2027-10-31,9841
2027-11-30,9965
2027-12-31,10089
