Date,ULEV_forecast
2019-07-31,1026
2019-08-31,1095
2019-09-30,1153
2019-10-31,1215
2019-11-30,1283
2019-12-31,1353
2020-01-31,1423
2020-02-29,1489
2020-03-31,1557
2020-04-30,1624
2020-05-31,1691
2020-06-30,1763
2020-07-31,1834
2020-08-31,1904
2020-09-30,1976
2020-10-31,2048
2020-11-30,2123
2020-12-31,2198
2021-01-31,2273
2021-02-28,2349
2021-03-31,2426
2021-04-30,2504
2021-05-31,2583
2021-06-30,2663
2021-07-31,2743
2021-08-31,2824
2021-09-30,2906
2021-10-31,2988
2021-11-30,3072
2021-12-31,3156
2022-01-31,3241
2022-02-28,3327
2022-03-31,3414
2022-04-30,3501
2022-05-31,3589
2022-06-30,3679
2022-07-31,3768
2022-08-31,3859
2022-09-30,3951
2022-10-31,4043
2022-11-30,4136
2022-12-31,4230
2023-01-31,4325
2023-02-28,4420
2023-03-31,4517
2023-04-30,4614
2023-05-31,4712
2023-06-30,4811
2023-07-31,4910
2023-08-31,5011
2023-09-30,5112
2023-10-31,5214
2023-11-30,5317
2023-12-31,5420
2024-01-31,5525
2024-02-29,5630
2024-03-31,5736
2024-04-30,5843
2024-05-31,5950
2024-06-30,6059
2024-07-31,6168
2024-08-31,6278
2024-09-30,6389
2024-10-31,6501
2024-11-30,6613
2024-12-31,6726
2025-01-31,6840
2025-02-28,6955
2025-03-31,7071
2025-04-30,7187
2025-05-31,7305
2025-06-30,7423
2025-07-31,7542
2025-08-31,7661
2025-09-30,7782
2025-10-31,7903
2025-11-30,8025
2025-12-31,8148
2026-01-31,8272
2026-02-28,8397
2026-03-31,8522
2026-04-30,8648
2026-05-31,8775
2026-06-30,8903
2026-07-31,9031
2026-08-31,9161
2026-09-30,9291
2026-10-31,9422
2026-11-30,9554
2026-12-31,9686
2027-01-31,9820
2027-02-28,9954
2027-03-31,10089
2027-04-30,10225
2027-05-31,10361
2027-06-30,10499
2027-07-31,10637
2027-08-31,10776
2027-09-30,10916
2027-10-31,11056
2027-11-30,11198
2027-12-31,11340
