,count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,easting,northing,latitude,longitude,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
3743,990068,E,2000,26/06/2000,18,1,South West,144,"Bristol, City of",B4465,Minor,362200,174140,51.46496137,-2.54552811,4,17,543,10,59,5,0,0,0,0,0,5,634
2925,73295,S,2000,11/10/2000,8,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,9,632,8,66,7,0,0,0,0,0,7,722
2924,73295,S,2000,11/10/2000,7,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,1,5,372,8,60,5,0,0,0,1,0,6,451
2923,73295,N,2000,11/10/2000,18,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,3,689,6,31,8,0,0,1,0,0,9,738
2922,73295,N,2000,11/10/2000,17,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,2,1,733,6,28,2,0,0,1,0,0,3,771
2921,73295,S,2000,11/10/2000,16,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,2,7,640,12,43,5,1,0,0,1,0,7,709
2920,73295,S,2000,11/10/2000,15,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,1,6,537,7,32,3,0,0,0,0,0,3,585
2919,73295,S,2000,11/10/2000,14,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,2,7,561,6,34,4,0,0,0,0,0,4,612
2918,73295,S,2000,11/10/2000,13,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,1,4,553,10,32,6,1,0,1,0,0,8,607
2917,73295,S,2000,11/10/2000,12,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,5,461,8,48,6,1,0,0,0,0,7,529
2916,73295,S,2000,11/10/2000,11,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,1,2,477,6,66,11,0,0,1,0,0,12,563
2915,73295,N,2000,11/10/2000,10,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,3,499,8,47,11,0,0,0,0,0,11,568
2926,73295,S,2000,11/10/2000,9,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,6,543,8,89,10,0,2,0,0,0,12,658
2914,73295,N,2000,11/10/2000,9,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,4,1,604,20,41,9,0,0,0,0,1,10,676
2912,73295,N,2000,11/10/2000,7,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,3,7,528,4,24,3,2,1,0,1,0,7,570
2911,73295,S,2000,11/10/2000,18,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,5,7,651,3,24,2,1,0,0,0,0,3,688
2910,73295,S,2000,11/10/2000,17,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,3,12,679,6,31,5,0,0,1,0,0,6,734
2909,73295,N,2000,11/10/2000,16,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,2,4,674,8,40,4,0,0,0,0,1,5,731
2908,73295,N,2000,11/10/2000,15,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,2,1,645,8,41,10,0,0,0,0,0,10,705
2907,73295,N,2000,11/10/2000,14,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,6,541,7,38,8,0,0,0,0,0,8,600
2906,73295,N,2000,11/10/2000,13,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,9,653,6,44,13,2,0,1,0,0,16,728
2905,73295,N,2000,11/10/2000,12,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,3,541,6,45,12,3,2,0,0,0,17,612
2904,73295,N,2000,11/10/2000,11,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,0,3,480,7,43,19,0,0,0,0,0,19,552
2879,963478,N,2000,05/04/2000,18,1,South West,144,"Bristol, City of",C,Minor,362000,168000,51.40974229,-2.547746,3,3,148,2,16,3,0,0,0,0,0,3,172
2878,963478,N,2000,05/04/2000,17,1,South West,144,"Bristol, City of",C,Minor,362000,168000,51.40974229,-2.547746,0,1,146,3,4,0,0,0,0,0,0,0,154
2913,73295,N,2000,11/10/2000,8,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,10,4,715,6,52,11,1,0,0,1,0,13,790
2927,73295,S,2000,11/10/2000,10,1,South West,144,"Bristol, City of",A4018,Major,357330,178790,51.50642213,-2.61619197,1,4,391,11,59,13,0,0,0,0,0,13,478
2952,963474,N,2000,12/10/2000,7,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,4,218,11,64,2,0,0,0,0,0,2,299
2953,963474,N,2000,12/10/2000,8,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,5,364,5,75,3,1,0,0,0,1,5,454
2978,968103,N,2000,12/04/2000,9,1,South West,144,"Bristol, City of",U,Minor,354100,178000,51.49906556,-2.66262429,1,1,94,3,17,7,1,0,0,0,0,8,123
2977,968103,N,2000,12/04/2000,8,1,South West,144,"Bristol, City of",U,Minor,354100,178000,51.49906556,-2.66262429,2,0,134,2,16,3,0,0,0,0,0,3,155
2976,968103,N,2000,12/04/2000,7,1,South West,144,"Bristol, City of",U,Minor,354100,178000,51.49906556,-2.66262429,1,1,34,1,9,0,0,0,0,0,0,0,45
2975,963474,N,2000,12/10/2000,18,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,3,2,177,6,15,0,0,0,0,0,0,0,200
2974,963474,N,2000,12/10/2000,17,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,5,4,242,5,31,0,0,0,0,0,0,0,282
2973,963474,N,2000,12/10/2000,16,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,5,209,4,41,4,0,0,0,0,0,4,263
2972,963474,N,2000,12/10/2000,15,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,1,247,11,39,2,0,0,0,0,0,2,300
2971,963474,N,2000,12/10/2000,14,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,3,5,168,9,35,2,0,0,0,0,0,2,219
2970,963474,N,2000,12/10/2000,13,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,0,1,165,5,45,2,0,0,0,0,0,2,218
2969,963474,S,2000,12/10/2000,12,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,2,135,3,33,3,0,0,0,0,0,3,176
2968,963474,S,2000,12/10/2000,11,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,0,2,131,5,31,1,0,0,0,0,0,1,170
2967,963474,S,2000,12/10/2000,10,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,2,132,8,16,2,0,0,0,0,0,2,160
2966,963474,S,2000,12/10/2000,9,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,0,127,8,27,1,0,0,0,0,0,1,163
2965,963474,S,2000,12/10/2000,8,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,3,0,127,8,18,0,0,0,0,0,0,0,153
2964,963474,S,2000,12/10/2000,7,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,0,2,61,4,13,1,0,0,0,0,0,1,81
2963,963474,S,2000,12/10/2000,18,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,6,3,165,5,17,1,0,0,0,0,0,1,191
2962,963474,S,2000,12/10/2000,17,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,8,8,210,6,28,0,0,0,0,0,0,0,252
2961,963474,S,2000,12/10/2000,16,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,3,8,173,17,38,0,0,0,0,0,0,0,236
2960,963474,S,2000,12/10/2000,15,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,6,148,8,22,2,0,0,0,0,0,2,186
2959,963474,S,2000,12/10/2000,14,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,1,100,4,18,1,0,0,0,0,0,1,124
2958,963474,S,2000,12/10/2000,13,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,0,0,106,5,25,3,0,0,0,0,1,4,140
2957,963474,N,2000,12/10/2000,12,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,2,173,8,45,2,0,0,0,0,0,2,230
2956,963474,N,2000,12/10/2000,11,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,2,3,173,6,30,1,0,0,0,1,0,2,214
2955,963474,N,2000,12/10/2000,10,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,0,147,9,28,1,0,0,0,0,0,1,185
2954,963474,N,2000,12/10/2000,9,1,South West,144,"Bristol, City of",C,Minor,362000,172000,51.44570694,-2.54817638,1,1,237,7,53,2,0,0,0,0,0,2,300
2877,963478,N,2000,05/04/2000,16,1,South West,144,"Bristol, City of",C,Minor,362000,168000,51.40974229,-2.547746,1,1,163,5,3,0,0,0,0,0,0,0,172
2979,968103,N,2000,12/04/2000,10,1,South West,144,"Bristol, City of",U,Minor,354100,178000,51.49906556,-2.66262429,0,0,57,3,10,2,0,0,0,0,0,2,72
2876,963478,N,2000,05/04/2000,15,1,South West,144,"Bristol, City of",C,Minor,362000,168000,51.40974229,-2.547746,2,0,210,4,1,1,0,0,0,0,0,1,216
2874,963478,N,2000,05/04/2000,13,1,South West,144,"Bristol, City of",C,Minor,362000,168000,51.40974229,-2.547746,2,1,100,2,1,1,1,0,0,0,0,2,106
2820,70105,S,2000,17/05/2000,7,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,1,2,112,2,61,42,9,7,6,9,8,81,258
2819,70105,S,2000,17/05/2000,18,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,1,11,323,1,56,4,1,0,2,4,1,12,403
2818,70105,S,2000,17/05/2000,17,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,3,9,464,1,64,14,1,1,2,1,7,26,564
2817,70105,S,2000,17/05/2000,16,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,2,16,412,0,105,17,1,2,2,6,3,31,564
2816,70105,S,2000,17/05/2000,15,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,0,11,262,4,95,31,14,12,3,8,6,74,446
2815,70105,S,2000,17/05/2000,14,1,South West,144,"Bristol, City of",A4,Major,352140,178000,51.4989026,-2.69085775,0,5,250,0,93,31,10,7,4,12,8,72,420
